中心アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,右アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,左アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,現在の車体中心の緯度,現在の車体中心の経度,現在の車体の方位角,車体姿勢,目標の緯度,目標の経度,目標の方位角,目標位置と現在位置の距離,目標位置と現在姿勢の方位角の差
1730001762.3630161,1729969362.2,36.08171887,140.0798516733,63.980000000000004,4,1730001762.3591542,1729969362.2,36.0817158683,140.0798484133,64.018,4,1730001762.3457453,1729969362.2,36.081715145,140.079853635,64.004,4,36.081718885422745,140.0798516924689,-9.182720473867462,-99.18272047386746,36.08170190000425,140.07985404654795,-89.30801875038983,2.813506978158134,13.731728052021012
1730001762.5479448,1729969362.4,36.08171884,140.0798516817,63.987,4,1730001762.55036,1729969362.4,36.0817158567,140.0798484033,64.018,4,1730001762.5224957,1729969362.4,36.0817151183,140.0798536383,64.008,4,36.08171888985468,140.07985173236597,-9.663819130421814,-99.66381913042181,36.08170190000425,140.07985404654795,-89.30801875038983,2.813714517200128,14.139087288473258
1730001762.7501807,1729969362.6,36.0817188817,140.0798516967,63.984,4,1730001762.739597,1729969362.6,36.081715875,140.0798483967,64.017,4,1730001762.7292202,1729969362.6,36.0817151383,140.079853665,64.001,4,36.081718868947085,140.07985174158955,-9.837080204775944,-99.83708020477594,36.08170190000425,140.07985404654795,-89.30801875038983,2.811336923456344,14.29915783949727
1730001763.1723082,1729969363.0,36.0817188583,140.07985165,63.988,4,1730001762.95439,1729969362.8,36.0817158617,140.079848375,64.015,4,1730001763.1799927,1729969363.0,36.0817151467,140.0798536167,64.00200000000001,4,36.08171888894341,140.07985174561344,-9.754030744327208,-99.75403074432721,36.08170190000425,140.07985404654795,-89.30801875038983,2.813520854614877,14.205234657672062
1730001763.368397,1729969363.2,36.08171875,140.079851635,63.989000000000004,4,1730001763.3719604,1729969363.2,36.08171572,140.0798484083,64.018,4,1730001763.3416266,1729969363.2,36.08171505,140.0798536367,64.004,4,36.0817188888481,140.07985169356536,-9.519192000055426,-99.51919200005543,36.08170190000425,140.07985404654795,-89.30801875038983,2.813878030730405,14.06558120941605
1730001763.5515707,1729969363.4,36.0817185167,140.0798516217,63.987,4,1730001763.5641925,1729969363.4,36.0817154133,140.07984846,64.015,4,1730001763.54303,1729969363.4,36.08171482,140.0798536933,64.019,4,36.081718775096924,140.07985167902157,-8.952401498503761,-98.95240149850376,36.08170190000425,140.07985404654795,-89.30801875038983,2.8014006397222424,13.545961147525329
1730001763.77268,1729969363.6,36.08171805,140.0798515333,63.988,4,1730001763.7642794,1729969363.6,36.0817148967,140.0798484833,64.017,4,1730001763.7437272,1729969363.6,36.0817144617,140.079853745,64.023,4,36.081718515702484,140.07985165900456,-7.934112125872361,-97.93411212587236,36.08170190000425,140.07985404654795,-89.30801875038983,2.7728579727510083,12.61243707602151
1730001763.9459624,1729969363.8,36.081717545,140.0798515117,63.986000000000004,4,1730001763.9512117,1729969363.8,36.08171436,140.0798485817,64.014,4,1730001763.935148,1729969363.8,36.08171396,140.0798538083,64.021,4,36.08171809351664,140.07985154072742,-5.803134278673582,-95.80313427867358,36.08170190000425,140.07985404654795,-89.30801875038983,2.7270752022010334,10.784815829163325
1730001764.1663127,1729969364.0,36.0817169267,140.0798514533,63.993,4,1730001764.1702213,1729969364.0,36.0817136767,140.07984861,64.025,4,1730001764.156374,1729969364.0,36.0817133917,140.079853855,64.02,4,36.08171757681604,140.0798515901784,-5.374676252841666,-95.37467625284167,36.08170190000425,140.07985404654795,-89.30801875038983,2.6695716780956213,10.367977936940285
1730001764.366297,1729969364.2,36.0817162233,140.07985141,63.99,4,1730001764.543216,1729969364.4,36.0817120167,140.07984865,64.017,4,1730001764.3542259,1729969364.2,36.081712735,140.0798539467,64.022,4,36.081716958473486,140.07985151368922,-3.8215780585168915,-93.82157805851689,36.08170190000425,140.07985404654795,-89.30801875038983,2.601851755737143,9.09752653685134
