中心アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,右アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,左アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,現在の車体中心の緯度,現在の車体中心の経度,現在の車体の方位角,車体姿勢,目標の緯度,目標の経度,目標の方位角,目標位置と現在位置の距離,目標位置と現在姿勢の方位角の差
1730003806.9308486,1729971406.8,36.0832096733,140.077662525,65.527,4,1730003806.9175653,1729971406.8,36.0832072433,140.0776664367,65.533,4,1730003807.154842,1729971407.0,36.0832115233,140.0776667967,65.555,4,36.083209633883435,140.0776624218223,85.89646729452679,-4.1035327054732065,36.083208948105906,140.07766251434052,-3.2256146546684055,0.9356529727317918,-3.7507392617820505
1730003807.358239,1729971407.2,36.0832096717,140.0776624833,65.531,4,1730003807.3274877,1729971407.2,36.083207255,140.0776664183,65.534,4,1730003807.351397,1729971407.2,36.0832115283,140.077666835,65.553,4,36.08320961756421,140.0776624075471,86.0859058011478,-3.914094198852201,36.08320745169015,140.07768411355718,-5.588173630312758,2.8895596476549574,-2.6419123327841185
1730003807.5431886,1729971407.4,36.0832096683,140.0776625067,65.528,4,1730003807.5462065,1729971407.4,36.08320726,140.0776663867,65.529,4,1730003807.5578706,1729971407.4,36.0832115233,140.0776668183,65.55000000000001,4,36.08320966301858,140.07766242086652,85.46475591757137,-4.535244082428638,36.08320745169015,140.07768411355718,-5.588173630312758,2.8889482695120625,-2.122854178059695
1730003807.7563872,1729971407.6,36.0832096767,140.077662515,65.53200000000001,4,1730003807.7278419,1729971407.6,36.0832072383,140.0776663967,65.524,4,1730003807.7504625,1729971407.6,36.0832115067,140.0776668283,65.555,4,36.0832096733127,140.07766239773952,85.29233453404264,-4.7076654659573585,36.08320745169015,140.07768411355718,-5.588173630312758,2.8911498194327594,-1.968130391494792
1730003807.9454825,1729971407.8,36.0832097133,140.07766251,65.537,4,1730003807.9419515,1729971407.8,36.0832072483,140.0776663883,65.525,4,1730003807.955293,1729971407.8,36.0832115483,140.0776668383,65.558,4,36.083209653828426,140.0776624077057,85.29793414941877,-4.702065850581232,36.08320745169015,140.07768411355718,-5.588173630312758,2.890007651532099,-1.9332270444728783
1730003808.17339,1729971408.0,36.083209715,140.0776626217,65.535,4,1730003808.1490123,1729971408.0,36.0832072517,140.0776664867,65.52600000000001,4,1730003808.1697183,1729971408.0,36.0832115317,140.0776669783,65.554,4,36.08320968939686,140.07766240951065,85.13427954826143,-4.8657204517385715,36.08320745169015,140.07768411355718,-5.588173630312758,2.890304891010804,-1.8476578360042484
1730003808.3631363,1729971408.2,36.0832096933,140.07766299,65.53200000000001,4,1730003808.3348894,1729971408.2,36.08320721,140.0776668533,65.52600000000001,4,1730003808.3502467,1729971408.2,36.08321149,140.07766737,65.557,4,36.08320971095826,140.0776625318015,84.66225249892494,-5.3377475010750635,36.08320745169015,140.07768411355718,-5.588173630312758,2.879647826138475,-1.448526704452522
1730003808.5601847,1729971408.4,36.083209645,140.0776635433,65.525,4,1730003808.7302506,1729971408.6,36.0832070717,140.07766806,65.53200000000001,4,1730003808.5509303,1729971408.4,36.0832114467,140.0776679333,65.559,4,36.08320968540693,140.07766291285367,84.39141475985585,-5.608585240144153,36.08320745169015,140.07768411355718,-5.588173630312758,2.845232586420144,-1.2026645300195358
1730003808.9398794,1729971408.8,36.0832095483,140.0776649583,65.53,4,1730003808.9181194,1729971408.8,36.08320697,140.0776688133,65.531,4,1730003808.926743,1729971408.8,36.0832112783,140.0776694317,65.553,4,36.08320917837616,140.07766377882655,91.34948214577842,1.3494821457784263,36.08320745169015,140.07768411355718,-5.588173630312758,2.7615068597504115,-7.193560019966253
1730003809.146967,1729971409.0,36.08320946,140.077665855,65.524,4,1730003809.1257672,1729971409.0,36.08320693,140.07766973,65.52600000000001,4,1730003809.1389096,1729971409.0,36.0832111883,140.077670295,65.555,4,36.083209522151456,140.07766493197363,83.34036411882698,-6.659635881173018,36.08320745169015,140.07768411355718,-5.588173630312758,2.662510213325651,-0.22868282370083062
