中心アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,右アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,左アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,現在の車体中心の緯度,現在の車体中心の経度,現在の車体の方位角,車体姿勢,目標の緯度,目標の経度,目標の方位角,目標位置と現在位置の距離,目標位置と現在姿勢の方位角の差
1729999739.3377156,1729967339.2,36.083207565,140.0776694767,65.493,4,1729999739.334038,1729967339.2,36.083205185,140.07767341,65.521,4,1729999739.3440957,1729967339.2,36.08320951,140.0776738967,65.521,4,36.08320829661797,140.07766798893348,74.56701132422909,-15.432988675770916,36.08320745169015,140.07768411355718,-5.588173630312758,2.375041781067463,11.005649139869222
1729999739.5198495,1729967339.4,36.0832075217,140.0776706183,65.481,4,1729999739.5347228,1729967339.4,36.0832051733,140.077674585,65.511,4,1729999739.528196,1729967339.4,36.0832094767,140.0776750233,65.521,4,36.08320766034175,140.07766945192205,84.76983354166836,-5.230166458331632,36.08320745169015,140.07768411355718,-5.588173630312758,2.2390250916332755,2.3439918895447325
1729999739.7475657,1729967339.6,36.0832074767,140.0776718233,65.47800000000001,4,1729999739.7578757,1729967339.6,36.0832051467,140.0776758183,65.51400000000001,4,1729999739.7696407,1729967339.6,36.08320946,140.0776762383,65.518,4,36.083207608358194,140.07767059956177,85.26393183622035,-4.736068163779645,36.08320745169015,140.07768411355718,-5.588173630312758,2.135499205921322,1.8648133284009747
1729999739.9501815,1729967339.8,36.0832074783,140.0776730583,65.476,4,1729999739.9433446,1729967339.8,36.0832052033,140.0776771167,65.512,4,1729999739.9544628,1729967339.8,36.0832094983,140.0776773883,65.524,4,36.08320757433356,140.07767182247912,85.47120401530023,-4.528795984699773,36.08320745169015,140.07768411355718,-5.588173630312758,2.0253023082237402,1.608123565350854
1729999740.149833,1729967340.0,36.083207505,140.0776742467,65.477,4,1729999740.1629333,1729967340.0,36.0832051817,140.077678295,65.511,4,1729999740.165285,1729967340.0,36.0832095533,140.0776785883,65.522,4,36.08320752710077,140.0776730390771,87.0553551433495,-2.9446448566504957,36.08320745169015,140.07768411355718,-5.588173630312758,1.9155999982404177,0.013528345347940642
1729999740.3496644,1729967340.2,36.0832075367,140.0776753933,65.482,4,1729999740.345948,1729967340.2,36.0832052683,140.0776794717,65.515,4,1729999740.3389604,1729967340.2,36.0832096133,140.0776797317,65.507,4,36.083207554519646,140.07767422892556,86.8761518533957,-3.1238481466043053,36.08320745169015,140.07768411355718,-5.588173630312758,1.808747504378036,-0.07711133941629368
1729999740.5382607,1729967340.4,36.0832075883,140.077676485,65.476,4,1729999740.5450363,1729967340.4,36.08320533,140.07768054,65.51599999999999,4,1729999740.5409293,1729967340.4,36.083209635,140.077680835,65.512,4,36.08320760765186,140.07767538769562,87.2133026830456,-2.786697316954421,36.08320745169015,140.07768411355718,-5.588173630312758,1.7049106439127906,-0.8079357818679045
1729999740.9458296,1729967340.8,36.0832075117,140.0776785867,65.47,4,1729999740.9611697,1729967340.8,36.083205245,140.0776826383,65.501,4,1729999740.9658883,1729967340.8,36.08320954,140.0776829467,65.511,4,36.083207673501434,140.07767647504556,86.80957465210493,-3.1904253478950695,36.08320745169015,140.07768411355718,-5.588173630312758,1.607681145034984,-0.8829368349722457
1729999741.15453,1729967341.0,36.083207535,140.07767951,65.461,4,1729999741.139497,1729967341.0,36.0832052217,140.0776835633,65.49799999999999,4,1729999741.148832,1729967341.0,36.0832095383,140.0776839183,65.513,4,36.08320759261198,140.07767858068482,86.65722621786931,-3.342773782130691,36.08320745169015,140.07768411355718,-5.588173630312758,1.4178772617950666,-0.9131943092573528
1729999741.5455735,1729967341.4,36.083207475,140.0776810683,65.467,4,1729999741.5472844,1729967341.4,36.083205145,140.077685065,65.493,4,1729999741.5375247,1729967341.4,36.0832094533,140.0776854583,65.506,4,36.08320760907532,140.0776795312156,86.17273236570247,-3.827267634297534,36.08320745169015,140.07768411355718,-5.588173630312758,1.332660734958338,-0.7801881263393836
1729999741.7426,1729967341.6,36.08320748,140.07768175,65.463,4,1729999741.7239826,1729967341.6,36.0832051583,140.0776857483,65.502,4,1729999741.7312663,1729967341.6,36.0832094733,140.0776861267,65.50399999999999,4,36.08320755329719,140.07768105424094,85.75311442922107,-4.246885570778935,36.08320745169015,140.07768411355718,-5.588173630312758,1.1954394960662014,-0.5930290355522897
