緯度,経度,方位,pause
36.083208948105906,140.07766251434052,-3.2256146546684055,False
36.08320745169015,140.07768411355718,-5.588173630312758,False
36.08320745399375,140.07768412438355,-5.58487920804292,True
36.08320625314847,140.07770721240365,-3.8954236043413095,False
36.08320356190114,140.0777294498371,-5.871082393865663,False
36.08320386950882,140.07774932304585,-25.506216105570054,False
36.08320178416052,140.0777659048164,-2.435045602236745,False
36.08320024350454,140.07778848724075,-2.4107162415594736,False
36.083197400180104,140.0778103085295,15.705985429066118,False
36.08319709370831,140.077831620379,-4.142447346295133,False
36.08319696443687,140.07785608573857,-26.947267693818066,False
36.08319424647765,140.07787231225015,-3.505267524831074,False
36.083192957556996,140.0778950669547,-5.826707196090382,False
36.08319064548453,140.07791753773904,-5.232560243689177,False
36.08318956866831,140.07794283608055,-3.235018936362942,False
36.08318815227406,140.07796548526215,-2.0134031939565062,False
36.08318613094369,140.07798989326508,-5.547136379330861,False
36.08318432469818,140.07801278216434,-4.465403756473563,False
36.08318208561361,140.0780355003443,-5.248136306914265,False
36.0831801014865,140.07805977203537,-0.5949634971765293,False
36.08317901040411,140.07808405027913,-7.738351774002137,False
36.08317646517235,140.07810378379415,20.03371255341302,False
36.08317800492996,140.0781221918386,-26.879735929097546,False
36.08317551737554,140.07814094469958,-7.153623600172144,False
36.0831723084001,140.0781581922035,19.400084428419667,False
36.08317295044908,140.07817500770028,-2.554337363628624,False
36.083171328571765,140.0781976000986,-7.468316641733397,False
36.083171285790925,140.0782199787166,-27.03633925707501,False
36.08316946632256,140.07823893476714,-1.3995602420062607,False
36.08316812510949,140.0782618421527,-2.3815569613263032,False
36.0831660037571,140.0782843402523,-4.839921670813507,False
36.08316371141943,140.07830708938923,-6.54901463924412,False
36.083161675288615,140.0783297859685,-3.5966138442119666,False
36.08316071542629,140.0783521432222,-3.542879636948993,False
36.08315758222373,140.07837347846873,20.086119286954688,False
36.083157759213144,140.07839024322905,-6.5119399738054495,False
36.083156624470945,140.07841291061231,-2.676703583955516,False
36.08315518084145,140.07843569786718,-5.000524709446608,False
36.08315422109415,140.0784582738373,-1.3539961951352653,False
36.083151074993665,140.07847981807498,19.636665931306734,False
36.08315126527454,140.07849826886533,-3.1080460716608163,False
36.083150058007114,140.07851882988913,-9.583453861298752,False
36.08314779652502,140.0785384030895,-14.467149822451432,True
36.083147793882226,140.07853840999806,-14.47848150092786,True
36.08314630810949,140.07855757964842,-2.083323947435684,False
36.08314373239023,140.0785748554926,17.613229679706386,False
36.083143289624395,140.07859845048202,-2.6383213468454074,False
36.08314169042606,140.0786189343031,-10.387298190308355,False
36.083139798264185,140.078641571425,-3.8689131121640576,False
36.083138357925336,140.07866414012844,-6.335739233754099,False
36.083136482870465,140.0786868393662,-3.946831011947827,False
36.08313482774068,140.0787038473694,25.92779552424935,False
36.08313528086852,140.0787250810474,-8.757527914546495,False
36.08313195532516,140.07874465026796,20.060320410623248,False
36.08313236140894,140.0787614918448,-3.601972265993214,False
36.083131052055,140.07878393573338,-5.049354192211714,False
36.083129156745024,140.07880660999743,-6.525918614760438,False
36.0831276558462,140.078829353065,-6.693165469456881,False
36.08312675845156,140.07884885929136,-28.533031367524334,False
36.0831234421107,140.0788676096442,-9.765575528993875,False
36.083121750165134,140.0788877956103,-1.4219814162405109,False
36.08312118364256,140.078910520259,0.27308919699851547,False
36.0831201671087,140.07893344565338,-3.3343572798978682,False
36.08311819521922,140.07895607033382,-6.850747982446417,False
36.083117134595064,140.0789787415588,-5.301476682755449,False
36.083115823570544,140.07900104576564,0.92877670997063,False
36.08311389543574,140.07902351835952,-8.891289504575855,False
36.083112436345175,140.0790439764995,-0.8714341570113567,False
36.08310939470231,140.07906337562608,15.728146604646632,False
36.08311008734821,140.07908203916048,-3.561646347539314,False
36.08310830675278,140.0791045916968,-2.7574620198529805,False
36.08310610832131,140.07912717501705,-6.6229922808524755,False
36.08310470112085,140.07914975697727,-4.27992731294665,False
36.083104759997475,140.07917182825656,-26.366495778369472,False
36.083102640597204,140.0791883392183,-3.5741749445665594,False
36.083101336690866,140.07921112744552,-4.373184697790469,False
36.08309921950557,140.07923612721797,-3.6813778407769706,False
36.08309720407014,140.07925879849432,-7.729355330221061,False
36.08309501434829,140.0792814741593,-2.4941634223286515,False
36.083092128886186,140.07930090854634,15.497008728163483,False
36.08309169196857,140.07931989234297,-1.8420904935752633,False
36.083091656917595,140.0793426238198,-1.3126388129808375,False
36.083090049555175,140.07936560164026,-7.091870072223114,False
36.083088213049635,140.07938427267305,6.740304783168583,False
36.083087777162795,140.0794038770609,-5.9459676555024155,False
36.083085132142415,140.07942648746112,-8.356959564505226,False
36.08308411816192,140.0794469643664,0.07242444214886776,False
36.083082993263794,140.07946778357092,-6.552280690191378,False
36.08308194585,140.07947726931314,0.0,False
